"","type_a","type_b","number","year"
"1","AC Level 1 Chargers ","AC charging (<= 3.7 kW)",4096,"2021"
"2","AC Level 2 Chargers ","AC charging  (>3.7 kW, <= 22 kW)",19165,"2021"
"3","AC Fast Chargers ","AC charging (43 kW)",922,"2021"
"4","DC Fast Chargers ","DC charging (<= 50 kW)",914,"2021"
"5","Tesla Superchargers ","DC charging (> 120kW- 250kW)",355,"2021"
"6","Ultrafast-High power chargers","DC charging (> 50 kW and <= 350 kW)",635,"2021"
"7","Inductive Chargers","EM charging",0,"2021"
"8","AC Level 1 Chargers ","AC charging (<= 3.7 kW)",4183,"2022"
"9","AC Level 2 Chargers ","AC charging  (>3.7 kW, <= 22 kW)",26942,"2022"
"10","AC Fast Chargers ","AC charging (43 kW)",921,"2022"
"11","DC Fast Chargers ","DC charging (<= 50 kW)",1201,"2022"
"12","Tesla Superchargers ","DC charging (> 120kW- 250kW)",384,"2022"
"13","Ultrafast-High power chargers","DC charging (> 50 kW and <= 350 kW)",4347,"2022"
"14","Inductive Chargers","EM charging",0,"2022"
